trench,profile,lon_x,lat_x,z_a,W,theta_l,theta_s,A,S,h_f,d_f,lon_y,lat_y,age_Ma,sed_m
philippine,107,127.57361322,5.73654099527,-8675.70213479,35.988330562499996,6.136529526723912,7.654253880686462,-0.11005352699158574,78.39340723717973,14.420148852499551,45.9851819831,127.57361322,5.73654099527,70.2838350194,570.864284887
philippine,108,127.605326602,5.67552502624,-8668.55556931,39.964423366,4.602948473676906,8.503753563150507,-0.2976191171900497,82.52538388354415,-104.6246021299994,23.978708730398,127.605326602,5.67552502624,70.1506718809,552.117145944
philippine,109,127.637033272,5.61450733014,-8917.50724042,48.9705646822,5.082404539386969,6.229232041838364,-0.10138475491290626,98.49607928296703,2094.154784325,93.9440235981,127.637033272,5.61450733014,70.0839063803,535.007307276
philippine,110,127.647899741,5.57287155534,-9128.98389078,42.995249278,5.521695705918566,8.410250504608607,-0.2073331862641997,95.02622612354634,508.4951698374998,63.9930469484,127.647899741,5.57287155534,69.925140867,529.000476192
philippine,111,127.647899741,5.55727382684,-9132.81255221,48.0020077277,5.430634422388683,6.410428222070714,-0.08274542826952201,103.93484695307076,560.0628858800001,73.0030531813,127.647899741,5.55727382684,69.8220837483,528.269385785
philippine,113,127.700571458,5.50370036768,-9065.88641796,61.9077869802,3.815194653282286,7.417979406533276,-0.32072722581048874,149.2377004850169,584.1367510500004,86.87134576519,127.700571458,5.50370036768,69.8977762733,503.070252085
philippine,114,127.760093557,5.40342678387,-8974.67299797,53.932310163,4.366923899502923,6.842879873620268,-0.22087415839104493,106.03345342565564,337.81141838499934,61.9226110443,127.760093557,5.40342678387,69.8273160137,480.207555956
philippine,115,127.811521772,5.33175944792,-8633.37628855,44.9279668432,4.167703746723858,6.2378201898305585,-0.1989439893395871,82.57262496638148,1748.7770652075,84.8645812179,127.811521772,5.33175944792,69.8941772124,461.637474789
philippine,116,127.872133222,5.25793871134,-8561.15541738,40.944042062,4.631754674287447,7.21452897408891,-0.2180240129701314,79.61942778439015,440.75416071499967,59.9184118754,127.872133222,5.25793871134,70.0264889202,445.848881889
philippine,117,127.922113763,5.16999418174,-8378.08888849,41.9537296808,4.204188839891497,6.169775620228041,-0.18947305901160708,86.52432536791052,309.8632219175006,57.9363495138,127.922113763,5.16999418174,69.962766895,435.837867328
philippine,118,127.970898683,5.09066657188,-8449.43726354,45.9820330413,4.613707352385296,5.031062834353237,-0.04327272437676126,94.38467075032278,-218.95499113750066,45.9821182125,127.970898683,5.09066657188,69.9526183629,429.474960426
philippine,119,127.982363066,4.98602564144,-8492.47382501,48.9891518427,4.1931107092901705,5.141445058805774,-0.10159394545125136,100.50378338123679,222.11188589999983,81.98205616672,127.982363066,4.98602564144,69.6598688968,432.503250742
philippine,120,128.006744976,4.94635960179,-8492.51963634,44.8936477485,4.491926546940303,6.135882106668643,-0.15468433929416792,92.37874342120158,274.3373861199998,62.851509183990004,128.006744976,4.94635960179,69.7182089826,430.793228613
philippine,121,128.088533247,4.88856791307,-8474.5789273,48.857044231399996,4.381311413903858,4.563088766051058,-0.02032303435557106,100.7848144357545,380.67540865249975,69.79627408721001,128.088533247,4.88856791307,70.0210126568,427.108896319
philippine,122,128.170307407,4.83076631299,-8272.50755671,44.885145332099995,4.326898844412006,4.52275954385562,-0.022132006779298375,86.10016357017,-206.75842234999982,40.895510559062004,128.170307407,4.83076631299,70.42225102,427.062924705
